symptoms,label
"fatigue, persistent cough with mucus, chest discomfort",Bronchitis
"high fever, headache, rash",Dengue
"runny nose, nasal congestion, sneezing, itchy eyes",Allergic Rhinitis
"facial pain, runny nose",Sinusitis
"fever, cough",Pneumonia
"fatigue, rash",Chickenpox
"loss of appetite, fatigue",Chickenpox
"nasal congestion, headache, runny nose, facial pain",Sinusitis
"runny nose, nasal congestion, itchy eyes, sneezing",Allergic Rhinitis
"fever, loss of appetite, rash",Chickenpox
"fever, fatigue, chills, muscle pain, cough",Flu
"loss of appetite, fever",Chickenpox
"sensitivity to light, high fever",Meningitis
"stiff neck, headache, high fever, sensitivity to light",Meningitis
"mild headache, sore throat, sneezing",Common Cold
"sore throat, runny nose, sneezing, mild headache",Common Cold
"persistent cough with mucus, chest discomfort, fatigue",Bronchitis
"chills, high fever, headache, nausea",Malaria
"mild headache, runny nose",Common Cold
"abdominal pain, diarrhea",Gastroenteritis
"sensitivity to light, headache",Meningitis
"loss of taste, high fever, dry cough, fatigue, shortness of breath",COVID-19
"loss of taste, dry cough, shortness of breath, high fever",COVID-19
"coughing, shortness of breath, wheezing, chest tightness",Asthma
"rash, loss of appetite, fatigue, fever",Chickenpox
"chest pain, fever, shortness of breath, cough",Pneumonia
"high fever, fatigue, loss of taste, dry cough, shortness of breath",COVID-19
"muscle pain, fever, fatigue, cough, chills",Flu
"headache, nasal congestion, runny nose",Sinusitis
"sneezing, runny nose, mild headache, sore throat",Common Cold
"facial pain, nasal congestion, runny nose",Sinusitis
"facial pain, nasal congestion, headache",Sinusitis
"mild headache, sore throat, runny nose",Common Cold
"vomiting, abdominal pain, diarrhea, fever",Gastroenteritis
"light sensitivity, vomiting, nausea",Migraine
"chest pain, weight loss, night sweats, persistent cough",Tuberculosis
"sore throat, runny nose, mild headache",Common Cold
"facial pain, headache",Sinusitis
"fatigue, muscle pain, fever, cough",Flu
"mild headache, sneezing, runny nose",Common Cold
"dizziness, nausea, light sensitivity, headache, vomiting",Migraine
"joint pain, muscle pain, headache, rash",Dengue
"persistent cough, weight loss, chest pain",Tuberculosis
"runny nose, nasal congestion, facial pain",Sinusitis
"chest pain, cough",Pneumonia
"vomiting, headache",Migraine
"high fever, muscle pain, rash, headache, joint pain",Dengue
"vomiting, abdominal pain, diarrhea, nausea, fever",Gastroenteritis
"nausea, fever, vomiting",Gastroenteritis
"sneezing, nasal congestion, itchy eyes, runny nose",Allergic Rhinitis
"loss of taste, shortness of breath, high fever",COVID-19
"fatigue, fever, loss of appetite, rash",Chickenpox
"high fever, joint pain",Dengue
"sneezing, nasal congestion, itchy eyes, runny nose",Allergic Rhinitis
"fever, vomiting, abdominal pain, nausea, diarrhea",Gastroenteritis
"mild headache, runny nose",Common Cold
"diarrhea, abdominal pain, vomiting, nausea",Gastroenteritis
"headache, joint pain",Dengue
"high fever, joint pain, rash, headache, muscle pain",Dengue
"runny nose, sore throat",Common Cold
"fatigue, fever, rash, loss of appetite",Chickenpox
"runny nose, facial pain, headache, nasal congestion",Sinusitis
"rash, headache, joint pain",Dengue
"high fever, stiff neck, sensitivity to light, headache",Meningitis
"fatigue, fever, muscle pain",Flu
"headache, light sensitivity, nausea",Migraine
"facial pain, headache, runny nose, nasal congestion",Sinusitis
"nausea, chills",Malaria
"shortness of breath, wheezing",Asthma
"itchy eyes, nasal congestion, sneezing, runny nose",Allergic Rhinitis
"high fever, stiff neck, sensitivity to light",Meningitis
"night sweats, persistent cough, chest pain, weight loss",Tuberculosis
"cough, fever, fatigue, chills",Flu
"weight loss, persistent cough",Tuberculosis
"high fever, dry cough",COVID-19
"persistent cough with mucus, fatigue, chest discomfort",Bronchitis
"rash, headache, joint pain",Dengue
"stiff neck, high fever, sensitivity to light",Meningitis
"fatigue, chest discomfort",Bronchitis
"runny nose, nasal congestion, headache",Sinusitis
"nasal congestion, runny nose",Allergic Rhinitis
"rash, fever, fatigue, loss of appetite",Chickenpox
"sensitivity to light, headache, high fever",Meningitis
"wheezing, coughing",Asthma
"headache, rash, high fever, muscle pain, joint pain",Dengue
"headache, facial pain, runny nose",Sinusitis
"runny nose, facial pain, headache",Sinusitis
"nasal congestion, runny nose, headache",Sinusitis
"chest pain, weight loss, night sweats",Tuberculosis
"high fever, headache, sensitivity to light, stiff neck",Meningitis
"muscle pain, headache, high fever, joint pain, rash",Dengue
"persistent cough, weight loss, night sweats",Tuberculosis
"night sweats, weight loss, chest pain, persistent cough",Tuberculosis
"dry cough, high fever, loss of taste",COVID-19
"fever, fatigue, rash",Chickenpox
"runny nose, sneezing, sore throat, mild headache",Common Cold
"chest pain, night sweats, weight loss",Tuberculosis
"shortness of breath, chest pain, fever, cough",Pneumonia
"dizziness, headache",Migraine
"sore throat, sneezing",Common Cold
"fever, sore throat, cough, chills, fatigue",Flu
"mild headache, sneezing",Common Cold
"high fever, shortness of breath",COVID-19
"nasal congestion, runny nose, headache, facial pain",Sinusitis
"fatigue, chills",Flu
"muscle pain, sore throat",Flu
"fatigue, persistent cough with mucus, chest discomfort",Bronchitis
"chills, fever, muscle pain, cough",Flu
"fever, muscle pain",Flu
"persistent cough with mucus, chest discomfort, fatigue",Bronchitis
"persistent cough, weight loss",Tuberculosis
"headache, sensitivity to light, high fever",Meningitis
"fatigue, persistent cough with mucus",Bronchitis
"mild headache, runny nose",Common Cold
"fatigue, rash, loss of appetite",Chickenpox
"weight loss, persistent cough, chest pain",Tuberculosis
"chest discomfort, persistent cough with mucus, fatigue",Bronchitis
"high fever, sensitivity to light",Meningitis
"runny nose, sore throat, mild headache, sneezing",Common Cold
"mild headache, sneezing",Common Cold
"stiff neck, high fever",Meningitis
"mild headache, sneezing, runny nose",Common Cold
"facial pain, runny nose, headache",Sinusitis
"wheezing, chest tightness, shortness of breath",Asthma
"sneezing, itchy eyes, nasal congestion",Allergic Rhinitis
"vomiting, diarrhea",Gastroenteritis
"mild headache, sore throat, runny nose, sneezing",Common Cold
"facial pain, runny nose",Sinusitis
"dizziness, vomiting",Migraine
"rash, fever, fatigue, loss of appetite",Chickenpox
"muscle pain, high fever, rash, headache",Dengue
"sensitivity to light, high fever, headache, stiff neck",Meningitis
"headache, light sensitivity, dizziness, nausea, vomiting",Migraine
"loss of taste, shortness of breath, fatigue",COVID-19
"runny nose, sneezing, mild headache",Common Cold
"runny nose, facial pain, nasal congestion",Sinusitis
"muscle pain, joint pain, rash",Dengue
"cough, fever",Pneumonia
"fever, fatigue",Chickenpox
"diarrhea, fever, vomiting, nausea",Gastroenteritis
"stiff neck, high fever, headache, sensitivity to light",Meningitis
"nasal congestion, itchy eyes, sneezing, runny nose",Allergic Rhinitis
